reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Adebayo, A. A., & Adeyemi, K. D. (2018). Biometric voter registration system: A case study of Nigeria. *Nigerian Journal of Technology*, *37*(4), 1023–1030. https://doi.org/10.4314/njt.v37i4.15",Biometric voter registration,qwen3_32b_think,needs-human,Reference requires human review.,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,Reliability study of Kolo Creek Gas Turbine Power Station,Y. P. Olisa; A.E. Amos,2018,Nigerian Journal of Technology,10.4314/njt.v37i4.15,https://doi.org/10.4314/njt.v37i4.15,GOOGLE,3,2,0,0,0,Biometric voter registration system: A case study of Nigeria,Reliability study of Kolo Creek Gas Turbine Power Station,"Adebayo, A. A.; Adeyemi, K. D.",Y. P. Olisa; A.E. Amos,2018,2018,Nigerian Journal of Technology,Nigerian Journal of Technology,10.4314/njt.v37i4.15,10.4314/njt.v37i4.15,0,0,1,GOOGLE,0,"✗ Title | ✗ Authors | ✓ Year | ✓ Venue | ✓ DOI | ✓ URL

### Summary
The reference needs human review because the information from the DOI points to a different article. While the year 2018 and the journal Nigerian Journal of Technology match, the authors and title do not correspond to the original citation about biometric voter registration. Instead, the DOI resolves to an article on power station reliability by different authors.

### Details
A matching record was found for the DOI 10.4314/njt.v37i4.15, but it corresponds to a paper titled ""Reliability study of Kolo Creek Gas Turbine Power Station"" authored by Y. P. Olisa and A.E. Amos. This contradicts the original citation's title ""Biometric voter registration system: A case study of Nigeria"" by Adebayo, A. A., & Adeyemi, K. D. The year (2018) and journal name matched exactly, but search results did not find any external evidence supporting the original citation's title and authors with this DOI. Therefore, the DOI in the original reference may be incorrect or misassigned and requires manual verification.

- [DOI link resolving to the power station article](https://doi.org/10.4314/njt.v37i4.15)
- [Nigerian Journal of Technology official site](https://www.nijotech.com)",0.1,0.9
International Foundation for Electoral Systems (IFES). (2017). *Biometric voter registration in Africa: Lessons from implementation*. IFES.,Biometric voter registration,qwen3_32b_think,unverified,Reference could not be verified.,CONTRADICTION,MATCH,CONTRADICTION,MATCH,ABSENT,Lessons on the Use of Technology in Elections and the Impact on EDR,International Foundation for Electoral Systems,2022,IFES,,https://www.ifes.org/sites/default/files/2022-12/Lessons%20on%20the%20Use%20of%20Technology%20in%20Elections%20and%20the%20Impact%20on%20EDR_Final.pdf,GOOGLE,2,2,0,1,0,Biometric voter registration in Africa: Lessons from implementation,Lessons on the Use of Technology in Elections and the Impact on EDR,International Foundation for Electoral Systems (IFES),International Foundation for Electoral Systems,2017,2022,International Foundation for Electoral Systems (IFES),IFES,,https://www.ifes.org/sites/default/files/2022-12/Lessons%20on%20the%20Use%20of%20Technology%20in%20Elections%20and%20the%20Impact%20on%20EDR_Final.pdf,0,0,3,GOOGLE,0,"✗ Title | ✓ Authors | ✗ Year | ✓ Venue | ○ ID

### Summary
No matching document could be found to confirm the exact reference titled ""Biometric voter registration in Africa: Lessons from implementation"" from 2017 by IFES. While the author (International Foundation for Electoral Systems) and publisher name matched, the title and year differed from available documents.

### Details
A matching record was not found in OpenAlex for this title and year. The closest available document by IFES is titled ""Lessons on the Use of Technology in Elections and the Impact on EDR"" published in 2022, which is a different report with older publication year and focus. The author and publishing organization matched perfectly, but the title topics diverge, and the years differ by 5, which is beyond an acceptable range. No DOI or direct identifier was found to link with the cited reference.

- https://www.ifes.org/sites/default/files/2022-12/Lessons%20on%20the%20Use%20of%20Technology%20in%20Elections%20and%20the%20Impact%20on%20EDR_Final.pdf",0.0,1.0
"Singh, R., & Kumar, S. (2019). Security challenges in biometric voter registration systems. *IEEE Access*, *7*, 168945–168956. https://doi.org/10.1109/ACCESS.2019.2956083",Biometric voter registration,qwen3_32b_think,needs-human,Reference requires human review.,CONTRADICTION,CONTRADICTION,MATCH,MATCH,MATCH,Multimodal Patient Satisfaction Recognition for Smart Healthcare,Abdulhameed Alelaiwi,2019,IEEE Access,10.1109/access.2019.2956083,https://doi.org/10.1109/ACCESS.2019.2956083,GOOGLE,3,2,0,0,0,Security challenges in biometric voter registration systems.,Multimodal Patient Satisfaction Recognition for Smart Healthcare,"Singh, R.; Kumar, S.",Abdulhameed Alelaiwi,2019,2019,IEEE Access,IEEE Access,10.1109/ACCESS.2019.2956083,10.1109/access.2019.2956083,0,0,1,GOOGLE,1,"✗ Title | ✗ Authors | ✓ Year | ✓ Venue | ✓ DOI | ✓ URL

### Summary
The reference could not be confidently verified because the DOI points to a different article than cited. Although the year and journal IEEE Access match, the title and authors are not the same; the DOI leads to a paper by Abdulhameed Alelaiwi on patient satisfaction recognition, rather than the cited work by Singh and Kumar on biometric voter registration security.

### Details
A matching record was found using the DOI 10.1109/ACCESS.2019.2956083, but it corresponds to the paper ""Multimodal Patient Satisfaction Recognition for Smart Healthcare"" authored by Abdulhameed Alelaiwi in IEEE Access, 2019. The cited title and authors (Singh, R., & Kumar, S.) do not match this evidence, indicating a mismatch or error in the reference's DOI. The publication year (2019) and journal IEEE Access are the only elements that align. A search for the cited title and authors in IEEE Access yielded no results, reinforcing the uncertainty.

- https://doi.org/10.1109/ACCESS.2019.2956083
- https://ieeexplore.ieee.org/document/",0.1,0.9
"Omondi, J. K. (2017). *Biometric voter registration in Kenya: A critical analysis of implementation challenges* (Doctoral dissertation). University of Nairobi.",Biometric voter registration,qwen3_32b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching dissertation or publication by Omondi, J. K. from 2017 with the title ""Biometric voter registration in Kenya: A critical analysis of implementation challenges"" could be found. The search did not confirm the author, title, year, or university association.

### Details
A thorough search through OpenAlex revealed no matching records. A Google search and scholar search for the exact title, author, and year yielded no dissertation record matching the details provided. Related searches brought up other studies and dissertations about voter registration, electoral systems, or Kenya but none authored by Omondi, J. K. with this title or linked to the University of Nairobi in 2017.

- https://openalex.org
- Google Scholar and general Google search results",0.0,1.0
"Nwagwu, C. C., & Nwagwu, E. C. (2016). Biometric voter registration in Nigeria: Implications for electoral integrity. *Journal of Emerging Trends in Computing and Information Sciences*, *7*(4), 123–130.",Biometric voter registration,qwen3_32b_think,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,MATCH,UNCONFIRMED,ABSENT,BIOMETRIC_REGISTRATION_CARD_READERS_AND_THE_INTEGRITY_ELECTION_IN_NIGERIA,,,,,https://www.academia.edu/47772574/BIOMETRIC_REGISTRATION_CARD_READERS_AND_THE_INTEGRITY_ELECTION_IN_NIGERIA,GOOGLE,1,2,0,1,1,Biometric voter registration in Nigeria: Implications for electoral integrity.,BIOMETRIC_REGISTRATION_CARD_READERS_AND_THE_INTEGRITY_ELECTION_IN_NIGERIA,"Nwagwu, C. C.; Nwagwu, E. C.",,2016,,Journal of Emerging Trends in Computing and Information Sciences,,,https://www.academia.edu/47772574/BIOMETRIC_REGISTRATION_CARD_READERS_AND_THE_INTEGRITY_ELECTION_IN_NIGERIA,0,0,2,GOOGLE,0,"✗ Title | ✗ Authors | ✓ Year | ? Venue | ○ ID

### Summary
No matching article could be found that confirms the citation for ""Biometric voter registration in Nigeria: Implications for electoral integrity"" by Nwagwu, C. C. and Nwagwu, E. C. in 2016. The available evidence shows discrepancies in the title and authorship compared to the claimed reference.

### Details
A search of published works did not find any record matching the exact title or author combination of the original citation. Although the publication year 2016 matches, the title evidence differs significantly, focusing instead on a related but different topic about ICT and election administration by a single author, EJ Nwagwu. Author names show no overlap, as the cited work lists two different authors with initials C. C. and E. C. Nwagwu, whereas the found evidence references only EJ Nwagwu. The journal name ""Journal of Emerging Trends in Computing and Information Sciences"" could not be verified with the given title and authors. The best potential match found was a different document titled ""BIOMETRIC_REGISTRATION_CARD_READERS_AND_THE_INTEGRITY_ELECTION_IN_NIGERIA"" without author or year details, which does not confirm the original reference.

- https://www.academia.edu/47772574/BIOMETRIC_REGISTRATION_CARD_READERS_AND_THE_INTEGRITY_ELECTION_IN_NIGERIA
- https://www.researchgate.net/publication/351124024_BIOMETRIC_REGISTRATION_CARD_READERS_AND_THE_INTEGRITY_ELECTION_IN_NIGERIA
- https://www.jstor.org/stable/48682670",0.0,1.0
United Nations Development Programme (UNDP). (2019). *Biometric voter registration: A technical guide for electoral management bodies*. UNDP.,Biometric voter registration,qwen3_32b_think,unverified,Reference could not be verified.,CONTRADICTION,MATCH,UNCONFIRMED,MATCH,ABSENT,UNDP SUPPORT TO ELECTORAL PROCESSES,United Nations Development Programme (UNDP),,UNDP,,https://www.undp.org/sites/g/files/zskgke326/files/2025-03/electoral_process.pdf,GOOGLE,2,1,0,1,1,Biometric voter registration: A technical guide for electoral management bodies,UNDP SUPPORT TO ELECTORAL PROCESSES,United Nations Development Programme (UNDP),United Nations Development Programme (UNDP),2019,,UNDP,UNDP,,https://www.undp.org/sites/g/files/zskgke326/files/2025-03/electoral_process.pdf,0,0,2,GOOGLE,0,"✗ Title | ✓ Authors | ? Year | ✓ Venue | ○ ID

### Summary
No matching publication titled ""Biometric voter registration: A technical guide for electoral management bodies"" by the United Nations Development Programme (UNDP) from 2019 could be found. Although the author and publisher (UNDP) were confirmed, the title did not match any identified document and no publication year could be verified.

### Details
A search for this specific title did not yield any directly matching records. The authorship by UNDP and the publisher as UNDP both matched exactly. The provided year, 2019, could not be confirmed as no candidate record contained that date. The closest available document identified was titled ""UNDP SUPPORT TO ELECTORAL PROCESSES,"" which is broader and does not correspond to the cited specific technical guide. No DOI or other unique identifiers were found to support confirmation.

- https://www.undp.org/sites/g/files/zskgke326/files/2025-03/electoral_process.pdf
- https://www.undp.org/publications/inclusive-electoral-processes-guide-electoral-management-bodies-promoting-gender-equality-and-womens-participation
- https://www.jstor.org/stable/48552823",0.133,0.867
"Okoye, P. N., & Okoye, C. N. (2021). The impact of biometric voter registration on electoral fraud in Africa. *African Journal of Political Science*, *26*(1), 45–62. https://doi.org/10.1155/2021/6644888",Biometric voter registration,qwen3_32b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference provided. There was no confirmation from multiple checks of the DOI, title, authors, year, or journal.

### Details
A search for the DOI 10.1155/2021/6644888 showed that this identifier could not be located in the official DOI system, returning a 404 error indicating it does not exist. Additionally, the title ""The impact of biometric voter registration on electoral fraud in Africa"" and the authors Okoye, P. N. and Okoye, C. N. yielded no matching records in OpenAlex or in general scholarly searches for the year 2021. Therefore, the reference appears to be unverified.

- [DOI System Check](https://doi.org/10.1155/2021/6644888)",0.0,1.0
"Mwakio, J. M., & Mwakio, M. J. (2015). Biometric voter registration in Kenya: A case study of the 2013 general elections. *Proceedings of the International Conference on Information Systems and Technology (CIST)*, 112–119.",Biometric voter registration,qwen3_32b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching publication could be found for the reference titled ""Biometric voter registration in Kenya: A case study of the 2013 general elections"" by J. M. Mwakio and M. J. Mwakio from 2015. The details such as title, authors, year, and conference proceedings do not correspond to any records in the verification sources.

### Details
A search through OpenAlex showed no records matching the title, authors, or year given. A further search via academic databases also did not find any closely related or identical publication. While some documents discuss biometric voter registration and elections in Kenya, none matched the specific authors, title, or conference cited in the reference. Therefore, the publication could not be verified with available sources.

- OpenAlex: https://openalex.org
- Academic search results from multiple databases",0.0,1.0
"Adeyemi, K. D., & Adebayo, A. A. (2020). Challenges of biometric voter registration in Nigeria: A socio-technical perspective. *Journal of Information Technology and Applications*, *8*(2), 78–92.",Biometric voter registration,qwen3_32b_think,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference ""Challenges of biometric voter registration in Nigeria: A socio-technical perspective"" by Adeyemi and Adebayo (2020) in the Journal of Information Technology and Applications.

### Details
A search using the exact title, authors, and year in OpenAlex yielded no matching publications. Additionally, a scholar search query with the full citation returned no relevant results. The year, authors, title, journal, and article details remain unconfirmed due to lack of evidence.

- [OpenAlex](https://openalex.org)
- [Google Scholar](https://scholar.google.com)",0.0,1.0
Electoral Institute for Sustainable Democracy in Africa (EISA). (2020). *Biometric voter registration in Africa: A comparative analysis of implementation*. EISA.,Biometric voter registration,qwen3_32b_think,needs-human,Reference requires human review.,CONTAINS,CONTAINS,CONTRADICTION,MATCH,ABSENT,Voter Registration in Africa: A Comparative Analysis,Astrid Evrensel,2010,EISA,,https://www.eisa.org/storage/2023/05/edited-volume-2010-voter-registration-comparative-analysis-south-africa-eisa-publication.pdf,GOOGLE,1,1,2,1,0,Biometric voter registration in Africa: A comparative analysis of implementation,Voter Registration in Africa: A Comparative Analysis,Electoral Institute for Sustainable Democracy in Africa (EISA),Astrid Evrensel,2020,2010,EISA,EISA,,https://www.eisa.org/storage/2023/05/edited-volume-2010-voter-registration-comparative-analysis-south-africa-eisa-publication.pdf,0,0,3,GOOGLE,1,"◐ Title | ◐ Authors | ✗ Year | ✓ Venue | ○ ID

### Summary
The reference could not be conclusively verified due to conflicting publication years. While the organization EISA and the venue were confirmed, the year given in the citation (2020) does not match the year found in the best available source (2010).

### Details
A matching document titled ""Voter Registration in Africa: A Comparative Analysis"" published by EISA was found with a publication year of 2010, while the cited reference states 2020. The core title is consistent but with slight wording differences, and the author listed for the found document is an individual (Astrid Evrensel) rather than the organization mentioned in the citation. No authoritative source confirms the 2020 year, and no unique identifiers were available. Further human review is recommended to resolve this discrepancy.

- [EISA publication PDF 2010](https://www.eisa.org/storage/2023/05/edited-volume-2010-voter-registration-comparative-analysis-south-africa-eisa-publication.pdf)",0.3,0.7
