reference,topic,model,svris_status,svris_reference,field_title,field_authors,field_year,field_venue,field_id,candidate_title,candidate_authors,candidate_year,candidate_venue,candidate_doi,candidate_url,candidate_source,candidate_matches,candidate_contradictions,candidate_contains,candidate_absent,candidate_unconfirmed,cmp_title_citation,cmp_title_candidate,cmp_authors_citation,cmp_authors_candidate,cmp_year_citation,cmp_year_candidate,cmp_venue_citation,cmp_venue_candidate,cmp_id_citation,cmp_id_candidate,match_set_size,contained_set_size,total_candidates,sources_queried,processing_time_ms,svris_message,score,error_distance
"Adebisi, F., & Adewumi, A. O. (2009). Biometric voter registration and verification system for developing countries. International Journal of Computer Science and Network Security, 9(5), 245-252.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,ABSENT,Design and Implementation of a Bimodal Voter Accreditation and Voting System,JA Alani; OS Olatunde; BA Adebisi,,,,,GOOGLE,0,2,0,1,2,Biometric voter registration and verification system for developing countries,Design and Implementation of a Bimodal Voter Accreditation and Voting System,"Adebisi, F.; Adewumi, A. O.",JA Alani; OS Olatunde; BA Adebisi,2009,,International Journal of Computer Science and Network Security,,,,0,0,1,GOOGLE,1,"✗ Title | ✗ Authors | ? Year | ? Venue | ○ ID

### Summary
No matching article could be found that confirms the reference by Adebisi and Adewumi (2009) titled ""Biometric voter registration and verification system for developing countries."" The closest found work has a different title and author list, indicating it is a different publication.

### Details
A search did not find any record matching the exact title or author combination. The title in the reference focuses on biometric voter registration and verification in developing countries, but the closest found work is titled ""Design and Implementation of a Bimodal Voter Accreditation and Voting System"" with different authors, only sharing one author named Adebisi. The year 2009 and the journal name could not be confirmed as no matching record was found. No digital identifier like a DOI was available to assist verification.

- https://www.researchgate.net/profile/Bello-Olaide-Wasiu/publication/380095699_Technology_and_Conduct_of_Election_in_Developing_Countries_A_Study_of_Nigeria's_Fourth_Republic/links/662a65bb06ea3d0b740bc500/Technology-and-Conduct-of-Election-in-Developing-Countries-A-Study-of-Nigerias-Fourth-Republic.pdf
- https://ieeexplore.ieee.org/abstract/document/10630296/
- https://journals.co.za/doi/pdf/10.25159/0256-8845/2861
- https://journals.co.za/doi/pdf/10.31920/2516-5305/2024/21n2a14
- https://www.researchgate.net/profile/Martins-Amola/publication/396248875_Integration_of_Biometric_Authentication_in_CUTP/links/68e47e0bf3032e2b4be71589/Integration-of-Biometric-Authentication-in-CUTP.pdf
- https://paauascience.com.ng/index.php/paausjsdata/article/download/9/3",0.0,1.0
"Ajayi, O. O., & Okeniyi, J. O. (2011). Biometric voter registration: A case study of Nigeria. Proceedings of the World Congress on Engineering and Computer Science, 1, 14-19.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,Exploring the Use of Biometric Smart Cards for Voters' Accreditation,,,,,https://ijaseit.insightsociety.org/index.php/ijaseit/article/view/8459,GOOGLE,0,1,0,1,3,Biometric voter registration: A case study of Nigeria.,Exploring the Use of Biometric Smart Cards for Voters' Accreditation,"Ajayi, O. O.; Okeniyi, J. O.",,2011,,World Congress on Engineering and Computer Science,,,https://ijaseit.insightsociety.org/index.php/ijaseit/article/view/8459,0,0,3,GOOGLE,0,"✗ Title | ? Authors | ? Year | ? Venue | ○ ID

### Summary
No matching article could be found for the reference by Ajayi and Okeniyi (2011) titled ""Biometric voter registration: A case study of Nigeria."" The title and other key details do not align with any available records.

### Details
A search did not find any record matching the exact title or authors. The closest found article, ""Exploring the Use of Biometric Smart Cards for Voters' Accreditation,"" has a different title and no author or year information to confirm a match. The year 2011 and the conference name ""World Congress on Engineering and Computer Science"" could not be verified. No digital identifier was available to assist verification.

- https://ijaseit.insightsociety.org/index.php/ijaseit/article/view/8459",0.0,1.0
"Al-Karaki, J. N., & Kamal, A. M. (2004). Biometric-based voter registration: A case study of Jordan. Journal of King Abdulaziz University: Engineering Sciences, 15(1), 107-120.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference by Al-Karaki and Kamal from 2004 titled ""Biometric-based voter registration: A case study of Jordan"" in the Journal of King Abdulaziz University: Engineering Sciences.

### Details
A search in OpenAlex and Google Scholar did not return any records matching the title, authors, year, or journal details provided. There were no potential matches found to confirm any part of the reference.

- [OpenAlex](https://openalex.org)
- [Google Scholar](https://scholar.google.com)",0.0,1.0
"Chikolo, D. (2013). Biometric voter registration in Zambia: An evaluation. Journal of Public Administration and Policy Research, 5(4), 123-130.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,ABSENT,Identity Management Based on Frontal Facial Recognition for Voters Register in Zambia,L K Musambo; J Phiri,2019,Zambia ICT Journal,,http://ictjournal.icict.org.zm/index.php/zictjournal/article/view/73,GOOGLE,0,4,0,1,0,Biometric voter registration in Zambia: An evaluation,Identity Management Based on Frontal Facial Recognition for Voters Register in Zambia,"Chikolo, D.",L K Musambo; J Phiri,2013,2019,Journal of Public Administration and Policy Research,Zambia ICT Journal,,http://ictjournal.icict.org.zm/index.php/zictjournal/article/view/73,0,0,2,GOOGLE,0,"✗ Title | ✗ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference by Chikolo, D. (2013) on biometric voter registration in Zambia. The available evidence points to a different article published in 2019 by Musambo and Phiri on a related but distinct topic.

### Details
A search did not find any record matching the title, authors, year, or journal of the cited article. The titles differ significantly: the cited work evaluates biometric voter registration in Zambia, while the found article discusses identity management using frontal facial recognition for the voters register. The authors do not overlap, with the citation listing Chikolo, D., and the found article authored by Musambo and Phiri. The publication years differ by six years (2013 vs 2019), and the journals are unrelated. No identifier was provided in the citation to aid verification.

- http://ictjournal.icict.org.zm/index.php/zictjournal/article/view/73",0.0,1.0
"Dlamini, S. (2012). The impact of biometric voter registration on electoral outcomes in Swaziland. African Journal of Political Science and International Relations, 6(3), 101-108.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article could be found for the reference by Dlamini (2012) titled ""The impact of biometric voter registration on electoral outcomes in Swaziland"" in the African Journal of Political Science and International Relations.

### Details
A search in OpenAlex and Google Scholar did not return any records matching the title, author, year, or journal details provided. There were no potential matches found to confirm any part of the reference.

- [OpenAlex](https://openalex.org)
- [Google Scholar](https://scholar.google.com)",0.0,1.0
"Kearney, M. (2012). Biometric voter registration in Kenya: A qualitative assessment. African Journal of Politics and Society, 18(1), 56-72.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Biometric voter registration in Kenya: A qualitative assessment"" by Kearney from 2012 could be found in the searched databases or sources. The reference could not be confirmed in any journal or repository.

### Details
A search in OpenAlex returned no matching records for this article. Additional searches through scholarly databases also did not find any work matching the title, author, or year. The closest related results were on topics of electoral processes and digital technology in Africa but did not match the specific reference. No DOI or other identifiers were found to verify this citation.

- https://search.proquest.com
- https://openalex.org
- https://books.google.com",0.0,1.0
"Manirabona, J. (2013). Biometric voter registration: A case study of Burundi. Journal of African Elections, 12(2), 223-238.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,CONTRADICTION,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,ABSENT,Embracing Biometric Voter Registration in Africa,,,,,https://www.researchgate.net/publication/315388352_Embracing_Biometric_Voter_Registration_in_Africa,GOOGLE,0,1,0,1,3,Biometric voter registration: A case study of Burundi.,Embracing Biometric Voter Registration in Africa,"Manirabona, J.",,2013,,Journal of African Elections,,,https://www.researchgate.net/publication/315388352_Embracing_Biometric_Voter_Registration_in_Africa,0,0,2,GOOGLE,0,"✗ Title | ? Authors | ? Year | ? Venue | ○ ID

### Summary
No matching article titled ""Biometric voter registration: A case study of Burundi"" by Manirabona in 2013 could be found. The closest related document found discusses biometric voter registration in Africa more broadly, which is a different work.

### Details
A search did not find any record matching the exact title or author for the 2013 article in the Journal of African Elections. The title in the citation conflicts with the found document titled ""Embracing Biometric Voter Registration in Africa,"" which covers a wider regional scope rather than a Burundi-specific case study. The author and year fields remain unconfirmed due to lack of matching records. No DOI or other identifier was available to assist verification.

- https://www.researchgate.net/publication/315388352_Embracing_Biometric_Voter_Registration_in_Africa",0.0,1.0
"Mercuri, R. T. (2001). Biometric voter registration systems. Electronic Voting Technology Workshop, 1-10.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,CONTRADICTION,MATCH,CONTAINS,CONTRADICTION,ABSENT,A better ballot box?,R Mercuri,2002,IEEE spectrum,,https://ieeexplore.ieee.org/abstract/document/1038569/,GOOGLE,1,2,1,1,0,Biometric voter registration systems.,A better ballot box?,"Mercuri, R. T.",R Mercuri,2001,2002,Electronic Voting Technology Workshop,IEEE spectrum,,https://ieeexplore.ieee.org/abstract/document/1038569/,0,0,3,GOOGLE,0,"✗ Title | ✓ Authors | ◐ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference to Mercuri's 2001 work on biometric voter registration systems. Although the author name matches, the title and venue differ significantly from available records.

### Details
A matching record was not found in OpenAlex. The closest found article by R. Mercuri is titled ""A better ballot box?"" published in IEEE Spectrum in 2002, which differs in both title and venue from the cited workshop paper. The year is close but the topics and publication sources do not align, indicating this is not the same work.

- https://ieeexplore.ieee.org/abstract/document/1038569/",0.0,1.0
"Mwesigwa, D. (2011). The effectiveness of biometric voter registration in Uganda. Journal of African Law, 55(2), 234-250.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,CONTRADICTION,CONTAINS,CONTRADICTION,CONTRADICTION,ABSENT,"Integrating ICT in Elections: How Uganda Implemented Biometric Voter Registration, 2001–2016",M Cynthia,2021,archives.kdischool.ac.kr,,https://archives.kdischool.ac.kr/handle/11125/43387,GOOGLE,0,3,1,1,0,The effectiveness of biometric voter registration in Uganda.,"Integrating ICT in Elections: How Uganda Implemented Biometric Voter Registration, 2001–2016","Mwesigwa, D.",M Cynthia,2011,2021,Journal of African Law,archives.kdischool.ac.kr,,https://archives.kdischool.ac.kr/handle/11125/43387,0,0,3,GOOGLE,1,"✗ Title | ◐ Authors | ✗ Year | ✗ Venue | ○ ID

### Summary
No matching article could be found for the reference provided. The title, author, year, and journal details do not align with any records found in the search.

### Details
A search found a different work titled ""Integrating ICT in Elections: How Uganda Implemented Biometric Voter Registration, 2001–2016"" by M Cynthia from 2021 hosted on an academic archive, which differs significantly from the cited article by Mwesigwa, D. from 2011 in the Journal of African Law. The titles focus on different aspects of biometric voter registration, the authors do not match, the years differ by a decade, and the venues are unrelated. No DOI or other identifier was found to link the citation to a verified source.

- https://archives.kdischool.ac.kr/handle/11125/43387",0.0,1.0
"Olorunnisola, A. (2009). Biometric voter registration in Nigeria: Challenges and prospects. Journal of African Elections, 8(1), 98-112.",Biometric voter registration,mistral_large_2_123b,unverified,Reference could not be verified.,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,UNCONFIRMED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,1,"? Title | ? Authors | ? Year | ? Venue | ? ID

### Summary
No matching article titled ""Biometric voter registration in Nigeria: Challenges and prospects"" by Olorunnisola from 2009 could be found in the searched databases. The reference could not be confirmed in the Journal of African Elections or any other source.

### Details
A search in OpenAlex returned no matching records for this article. Additionally, a scholar search did not find any work matching the exact title, author, or year. Several related articles on biometric voter registration and election technology in Nigeria were found, but none matched the specific reference details provided. No DOI or other identifier was available to assist verification.

- https://openalex.org
- https://scholar.google.com",0.0,1.0
